Type,Price,Quantity,Timestamp,Unnamed: 4,Unnamed: 5,,
bid,38585000,0.15352746,1.68344E+12,,5¿ù 7ÀÏ 3½Ã 17ºĞ,,5¿ù 8ÀÏ 4½Ã 12ºĞ
ask,38610000,0.01368489,1.68344E+12,,,,
bid,38585000,0.03837506,1.68344E+12,,,,
ask,38610000,0.01368489,1.68344E+12,,,,
bid,38584000,0.56887392,1.68344E+12,,,,
ask,38610000,0.01368489,1.68344E+12,,,,
bid,38585000,0.01675202,1.68344E+12,,,,
ask,38607000,0.20823838,1.68344E+12,,,,
bid,38584000,0.38809441,1.68344E+12,,,,
ask,38607000,0.18220287,1.68344E+12,,,,
bid,38584000,0.26053099,1.68344E+12,,,,
ask,38606000,0.04133549,1.68344E+12,,,,
bid,38584000,0.20053099,1.68344E+12,,,,
ask,38606000,0.00664826,1.68344E+12,,,,
bid,38594000,0.03918435,1.68344E+12,,,,
ask,38607000,0.15642205,1.68344E+12,,,,
bid,38584000,0.15748213,1.68344E+12,,,,
ask,38606000,0.00078235,1.68344E+12,,,,
bid,38584000,0.06908492,1.68344E+12,,,,
ask,38607000,0.1447724,1.68344E+12,,,,
bid,38589000,0.2583,1.68344E+12,,,,
ask,38624000,0.01531362,1.68344E+12,,,,
bid,38587000,0.0219,1.68344E+12,,,,
ask,38624000,0.01531362,1.68344E+12,,,,
bid,38586000,0.03398319,1.68344E+12,,,,
ask,38618000,0.00887079,1.68344E+12,,,,
bid,38586000,0.0001296,1.68344E+12,,,,
ask,38618000,0.00887079,1.68344E+12,,,,
bid,38585000,0.4878,1.68344E+12,,,,
ask,38618000,0.00759419,1.68344E+12,,,,
bid,38618000,0.00392536,1.68344E+12,,,,
ask,38625000,0.32436576,1.68344E+12,,,,
bid,38586000,0.4877,1.68344E+12,,,,
ask,38625000,0.32420075,1.68344E+12,,,,
bid,38602000,0.02889829,1.68344E+12,,,,
ask,38624000,0.02109738,1.68344E+12,,,,
bid,38586000,0.00918225,1.68344E+12,,,,
ask,38627000,0.56797282,1.68344E+12,,,,
bid,38586000,0.0391834,1.68344E+12,,,,
ask,38627000,0.56797282,1.68344E+12,,,,
bid,38591000,0.00880736,1.68344E+12,,,,
ask,38627000,0.56797282,1.68344E+12,,,,
